"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL35A",2.19596058737958e-22,-0.283531105634116,0.937,0.948,2.92172556150853e-18
"TPT1",2.62858329352198e-22,-0.378634074239599,0.845,0.906,3.49733007203099e-18
"RPS14",3.49366641740596e-22,-0.299116158778279,0.93,0.938,4.64832316835863e-18
"RPS6",5.5499440309974e-22,-0.354029944110953,0.86,0.878,7.38420053324204e-18
"RPL29",1.30339724140216e-21,-0.260114220854763,0.951,0.951,1.73417002968557e-17
"RPS4X",1.17879252443036e-20,-0.264343772770242,0.952,0.958,1.5683834537546e-16
"NKG7",1.99274011818882e-20,1.20703307561657,0.627,0.257,2.65134072725022e-16
"MALAT1",4.16740887860875e-20,-0.138643121892227,1,1,5.54473751298894e-16
"CST7",7.88172553891184e-20,1.11387992416155,0.633,0.267,1.04866358295222e-15
"CCL4L2",1.19679186029084e-19,2.34857944211564,0.345,0.062,1.59233157011696e-15
"CRIP1",2.38253311908385e-19,0.960534960477625,0.714,0.389,3.16996031494106e-15
"RPL9",3.88405563825254e-19,-0.370680818009502,0.81,0.833,5.167736026695e-15
"EEF1A1",4.0597188854795e-19,-0.21437056569329,0.979,0.969,5.40145597713047e-15
"RPS15",5.32383708820462e-19,-0.20407258895033,0.982,0.969,7.08336524585624e-15
"TNFSF9",1.29827639387995e-18,1.65453672433752,0.438,0.132,1.72735674205728e-14
"NACA",1.44877587826368e-18,-0.380644689954314,0.812,0.861,1.92759630602982e-14
"VIM",1.35592821824332e-17,0.884177109460528,0.718,0.406,1.80406249437273e-13
"RPL26",2.429071981407e-17,-0.188194809946738,0.977,0.969,3.23188027126201e-13
"B2M",3.32554619668609e-17,-0.130560166172287,1,1,4.42463921469084e-13
"ACTB",4.06454368319593e-17,-0.246103085507614,0.91,0.906,5.40787537049219e-13
"CCL5",5.92102081089106e-17,0.92094497848242,0.733,0.337,7.87791818889055e-13
"RPS19",1.48442352451202e-16,-0.18066845206919,0.983,0.969,1.97502549936325e-12
"RPL10A",2.58435068644507e-16,-0.526096169147679,0.628,0.705,3.43847858831517e-12
"GZMB",2.65912241728524e-16,3.5916446758956,0.233,0.017,3.53796237619801e-12
"MT-CO3",9.93712999429374e-16,-0.454649995151361,0.695,0.753,1.32213514574078e-11
"RPL18",1.01941849119493e-15,-0.223236972147144,0.948,0.944,1.35633630253485e-11
"UBA52",1.50042901784851e-15,-0.564063635555524,0.608,0.715,1.99632080824745e-11
"RPL7A",3.14018594470197e-15,-0.221767135180711,0.936,0.941,4.17801739942597e-11
"TNFAIP3",9.29149799321604e-15,0.77677681890403,0.794,0.448,1.23623380799739e-10
"RPS25",1.44416892586228e-14,-0.19422696468597,0.947,0.931,1.92146675585976e-10
"RPS3",2.817099221429e-14,-0.161513930638481,0.975,0.969,3.74815051411129e-10
"DUSP4",4.91747968609846e-14,2.06564947310964,0.291,0.069,6.54270672235401e-10
"RPLP2",5.62674958826286e-14,-0.298947411922274,0.828,0.847,7.48639032718374e-10
"NOSIP",5.71375930273692e-14,-2.12182859044478,0.059,0.208,7.60215675229147e-10
"JUNB",9.03372555179623e-14,-0.293604576604706,0.853,0.899,1.20193718466649e-09
"RPS18",2.96533840258448e-13,-0.153422290234322,0.985,0.979,3.94538274463864e-09
"LMNA",4.08310996339841e-13,2.53501625035532,0.238,0.042,5.43257780630159e-09
"RPL15",1.62069533582607e-12,-0.374483084992177,0.723,0.781,2.15633514431659e-08
"COX7C",2.93632266114729e-12,-0.482096365273167,0.637,0.701,3.90677730065647e-08
"RPSA",1.62671898835606e-11,-0.560659108433467,0.517,0.618,2.16434961400774e-07
"GZMH",1.72298335314929e-11,2.19984484790784,0.216,0.038,2.29242935136512e-07
"RPLP0",1.92520061028019e-11,-0.224155643708801,0.894,0.889,2.56147941197779e-07
"ZFP36",2.30702750621924e-11,0.403537895103943,0.946,0.753,3.0695000970247e-07
"RSRP1",2.50891874557203e-11,1.60078722019862,0.293,0.09,3.33811639098359e-07
"RPL8",3.21835105685215e-11,-0.23343252298308,0.863,0.858,4.28201608114178e-07
"TMSB4X",3.28971523855422e-11,-0.13348182881263,0.985,0.972,4.37696612489639e-07
"TXNIP",5.10190577527748e-11,-0.665793102662891,0.451,0.573,6.78808563400669e-07
"LDHB",6.0556311513323e-11,-0.982944667258228,0.271,0.434,8.05701724684762e-07
"SERF2",6.80851025780532e-11,-0.393522967292136,0.648,0.698,9.05872289800998e-07
"LEF1",8.08641470518939e-11,-2.56152018387648,0.034,0.139,1.07589747652545e-06
"RPL35",1.2179245772256e-10,-0.237233181098324,0.831,0.83,1.62044864999867e-06
"FAU",1.22912998859511e-10,-0.148591309610619,0.978,0.969,1.63535744982579e-06
"GNG2",2.73861724531752e-10,1.3593509761693,0.32,0.122,3.64373024489495e-06
"EEF1B2",3.56680401983808e-10,-0.42387037735435,0.634,0.67,4.74563274839457e-06
"RPL36A",4.80406074979032e-10,-0.442797385012306,0.61,0.677,6.39180282759602e-06
"TGFB1",5.29018396795335e-10,2.44401481117865,0.177,0.028,7.03858976936193e-06
"TAGLN2",5.6101718213098e-10,0.99903618958325,0.417,0.194,7.46433360825269e-06
"RNF19A",8.53096363382474e-10,1.01741003555173,0.415,0.191,1.13504471148038e-05
"CSRNP1",1.56299867388072e-09,1.41240672440063,0.283,0.101,2.0795697355983e-05
"LGALS1",8.22615426603431e-09,1.75833180762868,0.219,0.069,0.000109448982509587
"RPL17",1.01140778171213e-08,-0.285945380295582,0.73,0.747,0.0001345678053568
"HNRNPLL",1.366208109156e-08,2.21935909806221,0.164,0.031,0.000181773988923205
"TXK",1.43254017084335e-08,-2.4547883818733,0.021,0.097,0.000190599469730707
"LTB",1.48431685180289e-08,-1.2976091226996,0.138,0.267,0.000197488357132374
"NR4A2",1.57659027339067e-08,0.811656832164978,0.447,0.229,0.000209765335874629
"CYBA",1.61824888131796e-08,0.669608528811168,0.603,0.347,0.000215308013659355
"MAP1LC3B",1.86445880635296e-08,1.12546280008789,0.299,0.118,0.000248066244185261
"SELL",2.39143620928671e-08,-1.60060603350407,0.091,0.205,0.000318180587645597
"PRKCQ-AS1",2.50719957813397e-08,-2.20451196613512,0.041,0.132,0.000333582903870725
"TUBB4B",2.89741916904464e-08,1.12490778787489,0.318,0.142,0.000385501620441389
"XCL1",3.37008339902119e-08,1.9114429229227,0.198,0.059,0.00044838959623977
"BRD7",3.47545372865047e-08,-2.09307345160713,0.023,0.101,0.000462409118596945
"CD44",3.69034880446255e-08,0.822402078485249,0.438,0.226,0.000491000908433742
"XCL2",5.79190942203144e-08,2.04868204295227,0.165,0.038,0.000770613548601284
"HLA-DRB1",7.18403324657411e-08,0.938198935681051,0.381,0.201,0.000955835623456686
"MT-CO1",7.38194448334304e-08,-0.14132184765297,0.915,0.872,0.000982167713508791
"AHNAK",7.43651579021854e-08,1.65685462370474,0.192,0.056,0.000989428425888577
"GABARAPL1",8.0012174283129e-08,1.38224308059474,0.213,0.066,0.00106456197883703
"IFRD1",1.06711085441594e-07,1.69624504722094,0.179,0.049,0.0014197909918004
"PABPC1",1.52661549606254e-07,-0.534219656006516,0.461,0.556,0.00203116191751121
"MCL1",1.69132699677194e-07,0.826332974914941,0.399,0.198,0.00225031056920506
"RACK1",1.74475266598787e-07,-0.27718738983945,0.706,0.74,0.00232139342209686
"RGS10",1.93821406576722e-07,-1.04736311886808,0.186,0.309,0.00257879381450329
"SRSF7",2.11202829266943e-07,0.733014177060062,0.469,0.253,0.00281005364339668
"RPL37A",2.12652433261104e-07,-0.544037549443502,0.466,0.545,0.00282934062453898
"JMJD6",2.15533271370962e-07,1.52064009526779,0.188,0.056,0.00286767017559065
"LITAF",3.38856851400158e-07,0.998602146591739,0.268,0.108,0.0045084904078791
"GZMK",3.69582617481277e-07,0.613622505359436,0.55,0.323,0.00491729672558839
"TMA7",4.4891757699803e-07,-0.252206830910095,0.711,0.715,0.0059728483619588
"IFNG",5.20454178623904e-07,1.61518736946862,0.207,0.08,0.00692464284659104
"NEU1",5.33710951848486e-07,2.97457985173466,0.11,0.014,0.00710102421434411
"MAP3K8",6.19586677485286e-07,2.19388493845564,0.134,0.028,0.00824360074394173
"ITM2C",7.13166709517296e-07,1.79768323745837,0.148,0.035,0.00948868307012763
"SERTAD1",7.16741605869888e-07,0.96517279623507,0.291,0.132,0.00953624706609885
"SFPQ",7.25328980180892e-07,1.12627865616626,0.271,0.125,0.00965050208130676
"SLC7A5",7.25769984175498e-07,1.96628120527166,0.149,0.038,0.009656369639455
"GADD45B",7.70864848463092e-07,1.03379510456095,0.294,0.139,0.0102563568088014
"PFKFB3",8.31934301811204e-07,2.7605904674031,0.113,0.017,0.0110688858855981
"RPL23",8.83503298351828e-07,-0.671233433797779,0.344,0.448,0.0117550113845711
"COTL1",1.12971456292987e-06,0.737430220087983,0.433,0.257,0.0150308522597819
"IL7R",1.37955755563391e-06,-0.325940102668717,0.644,0.646,0.0183550132777092
"IDS",1.40019212478662e-06,0.988694879705667,0.264,0.115,0.018629556220286
"RPL31",1.46823670351357e-06,-0.484377664953215,0.483,0.559,0.019534889340248
"MT-ND3",1.49329715765108e-06,-0.136158413815846,0.901,0.878,0.0198683186825476
"TSPYL2",2.75043651918437e-06,1.10093428538487,0.246,0.111,0.036594557887748
"TUBA4A",2.77947996054666e-06,0.618534562214136,0.484,0.285,0.0369809808750733
"SRSF2",2.95882442472913e-06,0.782467257475488,0.362,0.198,0.039367158971021
"LDHA",3.30494735859411e-06,0.620441541366212,0.456,0.271,0.0439723246060946
"CRTAM",3.3149094883221e-06,1.425151939454,0.177,0.062,0.0441048707421255
"H2AFZ",3.32416794088985e-06,0.619869923424821,0.479,0.292,0.0442280544535395
"CD3D",3.58696289520691e-06,-0.398018111289001,0.532,0.576,0.047724541320728
"DENND2D",3.75475419438127e-06,-1.73755794889487,0.041,0.115,0.0499570045562428
